Counter,Date/time,Latitude,Longitude,Mag_x,Mag_y,Mag_z,Label1,Label2
26,2022-04-21 05:44:50.887833,-31.18023405216766,-65.30316359125807,5.881268501281738,-11.639520645141602,-13.502872467041016,dark,other
27,2022-04-21 05:45:06.978667,-30.457535872315322,-64.49801082960954,5.752100467681885,-11.649229049682617,-13.25627613067627,dark,other
28,2022-04-21 05:45:23.078639,-29.730358901208213,-63.70710531003934,5.795712471008301,-11.564311981201172,-13.127434730529785,dark,other
29,2022-04-21 05:45:39.192263,-28.997170998762797,-62.92802558681423,5.744890213012695,-11.671238899230957,-13.117313385009766,dark,other
30,2022-04-21 05:45:55.304233,-28.257972227801957,-62.16011518056749,5.683126926422119,-11.776217460632324,-12.787816047668457,dark,other
31,2022-04-21 05:46:11.416701,-27.513694821141662,-61.40368806916788,5.7085442543029785,-11.859219551086426,-12.624321937561035,dark,other
32,2022-04-21 05:46:27.542973,-26.764465775729388,-60.65821764941811,5.4951910972595215,-11.782366752624512,-12.519951820373535,dark,other
33,2022-04-21 05:46:43.661160,-26.00986086873225,-59.92266824111872,5.667200088500977,-11.759486198425293,-12.242903709411621,dark,other
34,2022-04-21 05:46:59.752452,-25.251126847697503,-59.197647553461564,5.624011993408203,-11.951953887939453,-12.131134033203125,dark,other
35,2022-04-21 05:47:15.866434,-24.489328888097916,-58.483531447643855,5.545423984527588,-12.057150840759277,-12.121747016906738,dark,other
36,2022-04-21 05:47:31.962930,-23.722345138735783,-57.777747612333094,5.658473968505859,-12.323424339294434,-11.945277214050293,dark,other
37,2022-04-21 05:47:48.057731,-22.952257728990983,-57.081657662510025,5.6979193687438965,-12.251741409301758,-11.635628700256348,dark,other
38,2022-04-21 05:48:04.148936,-22.178495980496987,-56.39417953448984,5.805731773376465,-12.426523208618164,-11.62016773223877,dark,other
39,2022-04-21 05:48:20.250812,-21.40133529415643,-55.71502380837409,5.802554130554199,-12.796825408935547,-11.74251651763916,dark,other
40,2022-04-21 05:48:36.365939,-20.620258075280628,-55.04323119109837,5.897774696350098,-12.97366714477539,-11.521502494812012,dark,other
41,2022-04-21 05:48:52.475657,-19.835276252687617,-54.37833471954417,5.70744514465332,-13.137099266052246,-11.21241569519043,dark,other
42,2022-04-21 05:49:08.607914,-19.047269343391054,-53.7206025695426,5.680418968200684,-13.163310050964355,-11.02248764038086,dark,other
43,2022-04-21 05:49:24.723868,-18.255634960388576,-53.06906684340222,5.692646026611328,-13.249627113342285,-10.809795379638672,dark,other
44,2022-04-21 05:49:40.842595,-17.461813280602524,-52.42445018815422,5.694639205932617,-13.231629371643066,-10.675606727600098,dark,other
45,2022-04-21 05:49:56.948019,-16.665214723480965,-51.78581334355405,5.754207134246826,-13.374492645263672,-10.66366195678711,dark,other
46,2022-04-21 05:50:13.061485,-15.866778736167229,-51.15346002071011,5.687317371368408,-13.413457870483398,-10.381945610046387,dark,other
47,2022-04-21 05:50:29.159115,-15.065601220990185,-50.52623877323432,5.702172756195068,-13.591485977172852,-10.262579917907715,dark,other
48,2022-04-21 05:50:45.254304,-14.262999321346339,-49.90475398487555,5.719900131225586,-13.564257621765137,-10.166118621826172,dark,other
49,2022-04-21 05:51:01.377700,-13.458440288196734,-49.2881694076262,5.81928014755249,-13.714216232299805,-10.303680419921875,dark,other
50,2022-04-21 05:51:17.499020,-12.650548779583753,-48.675041192846486,5.838480472564697,-13.791251182556152,-10.050378799438477,dark,other
51,2022-04-21 05:51:33.597728,-11.84090133089966,-48.066182865297975,5.998207092285156,-13.851563453674316,-10.083108901977539,dark,other
52,2022-04-21 05:51:49.698626,-11.030717260403668,-47.46210912904158,6.073691368103027,-13.947083473205566,-9.847959518432617,dark,other
53,2022-04-21 05:52:05.805908,-10.218856558875103,-46.861577426440235,6.120339393615723,-14.098095893859863,-9.82640266418457,dark,other
54,2022-04-21 05:52:21.901204,-9.405223786901272,-46.264144515581215,6.214142322540283,-14.151850700378418,-9.437276840209961,dark,other
55,2022-04-21 05:52:38.021255,-8.590878709840013,-45.67021577243744,6.252985000610352,-14.237068176269531,-9.102519989013672,dark,other
56,2022-04-21 05:52:54.144144,-7.774063794010903,-45.0781480028783,6.4107890129089355,-14.43474292755127,-9.064793586730957,dark,other
57,2022-04-21 05:53:10.268547,-6.956015270898348,-44.488484748828434,6.3946852684021,-14.6685152053833,-8.6926851272583,dark,other
58,2022-04-21 05:53:26.385573,-6.13691171157656,-43.90099799451545,6.561537265777588,-14.787097930908203,-8.523482322692871,dark,other
59,2022-04-21 05:53:42.518128,-5.3173137100742816,-43.31573419293851,6.796028137207031,-14.864272117614746,-8.441914558410645,dark,other
60,2022-04-21 05:53:58.649151,-4.496180042064045,-42.73160050410556,6.9236650466918945,-14.884885787963867,-8.332446098327637,dark,other
61,2022-04-21 05:54:14.762993,-3.6744849798713948,-42.14894425763386,7.116733551025391,-14.91195011138916,-8.10997200012207,dark,other
62,2022-04-21 05:54:30.897630,-2.8531374953831743,-41.56806107506931,7.179089546203613,-14.887214660644531,-7.9390153884887695,dark,other
63,2022-04-21 05:54:47.017870,-2.0303124697634116,-40.98731643719459,7.417239189147949,-14.916110038757324,-7.7710280418396,dark,other
64,2022-04-21 05:55:03.159536,-1.2079074502200535,-40.40770785501757,7.509428977966309,-15.047209739685059,-7.695677757263184,dark,other
65,2022-04-21 05:55:19.261582,-0.3842177698091624,-39.82769227762283,7.637939929962158,-15.204876899719238,-7.477043628692627,dark,other
66,2022-04-21 05:55:35.373849,0.4375319307538981,-39.24919917047502,7.927973747253418,-15.335643768310547,-7.50252103805542,dark,other
67,2022-04-21 05:55:51.484126,1.2597849669335275,-38.670167965425684,8.15267276763916,-15.565892219543457,-7.276832103729248,dark,other
68,2022-04-21 05:56:07.598355,2.081805502251363,-38.090776446291095,8.464885711669922,-15.714670181274414,-7.052366733551025,dark,other
69,2022-04-21 05:56:23.680602,2.903781981159681,-37.51055049205038,8.636849403381348,-15.72713851928711,-6.865004539489746,dark,other
70,2022-04-21 05:56:39.803660,3.7237786844173852,-36.930517541062606,8.923686027526855,-15.72952938079834,-6.6691155433654785,dark,other
71,2022-04-21 05:56:55.898763,4.545397836748944,-36.34778457526188,9.233758926391602,-15.752978324890137,-6.3912553787231445,dark,other
72,2022-04-21 05:57:11.993310,5.3650104756087424,-35.764578145539254,9.38341999053955,-15.885190963745117,-5.987449645996094,dark,other
73,2022-04-21 05:57:28.121274,6.183914697637073,-35.179631858781434,9.728934288024902,-15.85240364074707,-5.780594348907471,dark,other
74,2022-04-21 05:57:44.237250,7.003710241869231,-34.59144424827272,9.988062858581543,-15.79153823852539,-5.319582939147949,dark,other
75,2022-04-21 05:58:00.375113,7.82198044902065,-34.0013885586488,10.279525756835938,-15.889915466308594,-4.805307865142822,dark,other
76,2022-04-21 05:58:16.482037,8.640341974551943,-33.40793581446709,10.601502418518066,-15.716261863708496,-4.261399269104004,dark,other
77,2022-04-21 05:58:32.625062,9.455963187405777,-32.81277841762028,10.888063430786133,-15.652647972106934,-3.9685513973236084,dark,other
78,2022-04-21 05:58:48.732309,10.272156811156615,-32.213127442917106,11.143792152404785,-15.779265403747559,-3.7976391315460205,dark,other
79,2022-04-21 05:59:04.848422,11.08514420713004,-31.61138456686003,11.434761047363281,-15.921473503112793,-3.4212000370025635,dark,other
80,2022-04-21 05:59:20.979782,11.89706866613873,-31.005594443030216,11.763201713562012,-16.023847579956055,-2.9765658378601074,dark,other
81,2022-04-21 05:59:37.107438,12.708123941913069,-30.39521440433445,12.153645515441895,-15.911251068115234,-2.332815647125244,dark,other
82,2022-04-21 05:59:53.227557,13.51721839408599,-29.780666001428543,12.472379684448242,-15.862060546875,-1.6807924509048462,dark,other
83,2022-04-21 06:00:09.352347,14.324038466636193,-29.161791736364773,12.887575149536133,-15.825546264648438,-1.0755517482757568,dark,other
84,2022-04-21 06:00:25.446203,15.129058354505586,-28.53781978535272,13.125662803649902,-15.859808921813965,-0.8549585938453674,dark,other
85,2022-04-21 06:00:41.560673,15.930377850827805,-27.90982188936947,13.332398414611816,-15.913606643676758,-0.1328182816505432,dark,other
86,2022-04-21 06:00:57.685834,16.73041068925,-27.275486631950105,13.419671058654785,-15.84564208984375,0.6474848985671997,dark,other
87,2022-04-21 06:01:13.792722,17.52853833900395,-26.63484593198063,13.630702018737793,-15.873043060302734,1.2319655418395996,light,other
88,2022-04-21 06:01:29.948708,18.323155491978056,-25.98874697963251,13.969352722167969,-15.85683536529541,1.6704744100570679,light,other
89,2022-04-21 06:01:46.130459,19.117449586389533,-25.334114162576324,13.55007553100586,-15.616507530212402,2.2080283164978027,light,other
90,2022-04-21 06:02:02.167316,19.91010484869513,-24.67149579004454,13.963665008544922,-15.479880332946777,2.8525145053863525,light,other
91,2022-04-21 06:02:18.351411,20.692579523130682,-24.0076561117996,14.133889198303223,-15.358177185058594,3.463167667388916,light,other
92,2022-04-21 06:02:34.493485,21.47903728444249,-23.330079210819587,14.296796798706055,-15.261669158935547,3.9489428997039795,light,other
93,2022-04-21 06:02:50.637169,22.260047697420926,-22.646276420627718,14.525161743164062,-15.072277069091797,4.580581188201904,light,other
94,2022-04-21 06:03:06.809878,23.03721487585746,-21.954365800683387,14.622888565063477,-14.945513725280762,5.331517219543457,light,other
95,2022-04-21 06:03:22.991510,23.812704103328937,-21.251835845034403,14.729561805725098,-14.905908584594727,5.901153564453125,light,other
96,2022-04-21 06:03:39.117818,24.584251293882193,-20.54012780468551,14.898566246032715,-14.82103157043457,6.636474132537842,light,other
97,2022-04-21 06:03:55.235863,25.348824501286888,-19.821534972375,14.977725982666016,-14.849125862121582,7.265967845916748,light,other
98,2022-04-21 06:04:11.343120,26.109340591103596,-19.092793382770783,15.167376518249512,-14.814994812011719,8.014054298400879,light,other
99,2022-04-21 06:04:27.442149,26.86446839263736,-18.354589225774962,15.303508758544922,-14.619861602783203,8.745979309082031,light,other
100,2022-04-21 06:04:43.537804,27.614396480811138,-17.606153604976157,15.606587409973145,-14.530410766601562,9.30285358428955,light,other
101,2022-04-21 06:04:59.626024,28.35943121771598,-16.84655119109253,15.512619972229004,-14.478780746459961,10.359383583068848,light,other
102,2022-04-21 06:05:15.689284,29.098875395009312,-16.07584307020715,15.472139358520508,-14.328362464904785,10.74992847442627,light,other
103,2022-04-21 06:05:31.782953,29.83180434301827,-15.29436558233371,15.439393043518066,-14.206035614013672,11.389618873596191,light,other
104,2022-04-21 06:05:47.861991,30.56051014369196,-14.498960433477796,15.467110633850098,-14.129412651062012,12.000917434692383,light,other
105,2022-04-21 06:06:03.968119,31.282681078134107,-13.691396248753078,15.519364356994629,-14.001640319824219,12.56167984008789,light,other
106,2022-04-21 06:06:20.082978,31.999941109418742,-12.869081361906686,15.46690559387207,-13.779878616333008,13.085982322692871,dark,other
107,2022-04-21 06:06:36.239969,32.71118051856257,-12.032440383177878,15.463006973266602,-13.635607719421387,13.783205032348633,light,other
108,2022-04-21 06:06:52.395617,33.417560729935275,-11.179196546076831,15.389232635498047,-13.481823921203613,14.490612030029297,light,other
109,2022-04-21 06:07:08.583618,34.116863888585044,-10.311106741728677,15.218169212341309,-13.361509323120117,15.032244682312012,light,other
110,2022-04-21 06:07:24.765620,34.81023687302074,-9.425811323509866,15.203105926513672,-13.422985076904297,15.672947883605957,light,other
111,2022-04-21 06:07:40.952911,35.495463812882974,-8.525195714864688,15.24905014038086,-13.259601593017578,16.21440315246582,light,other
112,2022-04-21 06:07:57.146129,36.17340576212438,-7.6071906794447655,15.222461700439453,-13.16100025177002,16.838930130004883,light,other
113,2022-04-21 06:08:13.350631,36.84304434209882,-6.672177074528641,15.085165977478027,-13.136618614196777,17.440237045288086,light,other
114,2022-04-21 06:08:29.540914,37.50445334170547,-5.7190354531817675,15.002655029296875,-12.962496757507324,18.251821517944336,light,sea
115,2022-04-21 06:08:45.735075,38.15630165584588,-4.748674471738632,14.925253868103027,-12.793371200561523,18.753013610839844,light,sea
116,2022-04-21 06:09:01.956740,38.798877280558905,-3.7596482832000775,14.686417579650879,-12.63859748840332,19.297876358032227,light,sea
117,2022-04-21 06:09:18.213121,39.43272678377269,-2.7499430774796205,14.488265991210938,-12.45404052734375,19.745906829833984,light,sea
118,2022-04-21 06:09:34.419756,40.057690548649035,-1.718497428935437,14.37990951538086,-12.389213562011719,20.381023406982422,light,other
119,2022-04-21 06:09:50.611886,40.67011907041951,-0.670240935087953,14.087440490722656,-12.244176864624023,21.10495948791504,light,other
120,2022-04-21 06:10:06.819965,41.27090332330042,0.39728682504614543,13.838168144226074,-12.144758224487305,21.416044235229492,light,other
121,2022-04-21 06:10:23.027321,41.860958402669084,1.4869234146124315,13.625626564025879,-12.164834976196289,21.603271484375,light,other
122,2022-04-21 06:10:39.292805,42.440906938282474,2.6013327238976456,13.414774894714355,-12.069334030151367,22.028636932373047,light,other
123,2022-04-21 06:10:55.474647,43.00665506372221,3.7339146942770505,13.2769136428833,-11.959724426269531,22.66438102722168,light,other
124,2022-04-21 06:11:11.653877,43.55855769156344,4.886321345825765,13.228973388671875,-11.815876960754395,23.314756393432617,light,other
125,2022-04-21 06:11:27.843551,44.09708115176155,6.060688507344148,13.13051700592041,-11.837748527526855,23.756423950195312,light,other
126,2022-04-21 06:11:44.065515,44.62216298318997,7.258248880361201,12.836264610290527,-11.598987579345703,24.018159866333008,light,other
127,2022-04-21 06:12:00.268991,45.13395068982495,8.480913104733684,12.615674018859863,-11.374666213989258,24.506792068481445,light,other
128,2022-04-21 06:12:16.469871,45.630311756961184,9.725040566603283,12.356823921203613,-11.302494049072266,24.890039443969727,light,other
129,2022-04-21 06:12:32.661987,46.11124557391176,10.991912692686954,12.097519874572754,-11.103181838989258,25.33226203918457,light,other
130,2022-04-21 06:12:48.869586,46.576063017291496,12.28106354522369,11.93589973449707,-11.0537691116333,25.72417640686035,light,other
